state,county,area_land,area_water,longitude,latitude
18,011,1095336916,877155,-86.46841645747328,40.050930402435704
19,121,1452999207,2983840,-94.01578218629662,41.33117312010826
21,217,689890901,27072829,-85.3330165510173,37.36776933462425
20,169,1865418118,2773261,-97.65185177338897,38.78369175482485
26,015,1432508482,62024197,-85.30834519043108,42.5951398435169
27,161,1096505107,24893715,-93.58720034258192,44.022111159699286
27,013,1936734380,46116969,-94.06699781346687,44.03554215101058
37,057,1432711784,37452229,-80.2125657191216,35.791154957284135
39,141,1784986619,9938847,-83.06000913622718,39.33705391265788
47,175,708142417,2893456,-85.45214841489566,35.69852357637916
48,145,1982545004,21693802,-96.93630086106944,31.25350608945241
48,305,2309924850,4169718,-101.81628494507046,33.17657705208724
48,117,3876750541,3926557,-102.60542672645917,34.96522956978894
72,139,53786133,1592599,-65.99722993223276,18.335372600746503
56,009,11020303965,26150335,-105.50814888248304,42.97299613887552
51,073,564117808,181754414,-76.5352433708888,37.40809042462718
48,267,3240035980,493584,-99.74856472736006,30.486789176172984
35,025,11373850144,8360723,-103.41352580767919,32.79450705930009
08,023,3179452300,8828906,-105.42765480969663,37.27732492787743
19,077,1529698829,6355534,-94.50111014204957,41.68378965419248
28,129,1647926083,2599432,-89.50644845655881,32.017445325062766
20,165,1858997546,544720,-99.30863983485771,38.5227527573346
20,097,1871627782,596764,-99.28565369616534,37.55848695293027
29,217,2140343870,27020859,-94.34127305243841,37.845779899578524
37,077,1377850153,14503652,-78.65184870334919,36.30337202361223
31,077,1475804204,2188872,-98.52150266014178,41.56742671275592
42,099,1428244417,10589676,-77.2594494127188,40.40222297614263
17,071,981059027,42557504,-90.92491462344383,40.819086724546366
48,221,1089617912,41788074,-97.83242023845342,32.429909269511796
17,087,890762652,12789863,-88.88165418594009,37.45939801981756
51,790,51593821,147694,-79.06112586831219,38.16378410131564
17,011,2250916543,11606402,-89.528293992935,41.403824133261324
19,021,1488981857,13798139,-95.15100161714642,42.735458752516166
18,087,983236292,18318591,-85.42674231763587,41.64232188205659
28,153,2099745573,7255476,-88.69573913426446,31.641356869327293
21,171,853220811,6801898,-85.71596442926126,36.71225340748723
04,019,23794796847,5251370,-111.78900330425058,32.09713340290054
40,053,2592244802,7021952,-97.78638784542585,36.79629574723459
48,357,2376792056,1331778,-100.81581835166591,36.278291052769035
40,059,2691041192,5259447,-99.66798040384724,36.78836518587708
72,151,143005179,72592521,-65.8893947157972,18.07137736645935
17,177,1462219648,1350223,-89.66259799832086,42.35129217389305
18,091,1549504338,38830316,-86.74072188230274,41.54366008120979
36,067,2016012323,70528310,-76.19971154944388,43.00491922508052
16,047,1888932879,12472392,-114.81070306346153,42.96920025526334
21,055,932300422,28949527,-88.08826090176694,37.35839236671793
19,007,1287978861,49088024,-92.86865905901641,40.743244541376555
21,063,606882493,2601649,-83.09693100214497,38.115871836983736
24,011,827350253,16777065,-75.8290415829984,38.87172292925254
22,031,2269875385,47052491,-93.74131338859053,32.054604684960076
24,015,896857465,185336237,-75.94628056307481,39.56654282903454
55,078,926217568,19022479,-88.70958153555256,45.00427824434033
19,179,1118453189,10836292,-92.40954727683783,41.030649838946815
16,055,3205833878,184447536,-116.70208723860556,47.672822575843384
47,075,1380741546,2472509,-89.28536624785544,35.58332824216588
19,003,1096686268,5367875,-94.69932644741344,41.02903566976405
17,155,414659150,31195045,-89.2868191775906,41.20137237627706
17,169,1132511778,10511618,-90.61103358519689,40.15715749410772
47,111,795498350,246690,-86.00750927821285,36.531554282240414
19,033,1471890326,17659667,-93.26122389988441,43.081775625769694
26,023,1311604220,34421385,-85.05929475749141,41.91600556434608
19,041,1469139461,13866648,-95.15096481198141,43.082471820315206
37,159,1324723323,32235597,-80.52446628366867,35.64003915678335
56,001,11070455509,89161376,-105.72351323437454,41.65497847165181
02,016,11375510886,25186009907,-110.40864338017904,52.72541116103069
08,013,1881290197,36512644,-105.35467667576425,40.09313619321122
13,303,1757341882,15131101,-82.79356521035999,32.96712373333268
18,055,1404983918,8919617,-86.96223201837051,39.03630547177759
20,109,2779039721,274632,-101.14847503765367,38.91735805772039
21,033,893002030,8697603,-87.8694821709463,37.14748567937521
26,137,1333913825,28997148,-84.59898294755544,45.02085830757598
26,143,1346526278,155723123,-84.61067651312344,44.33473082084372
35,043,9609141803,10852025,-106.86877511617288,35.688612858634045
39,011,1039605845,1339586,-84.22421429924674,40.559988586496026
46,015,2116643979,75721265,-99.08118953852781,43.71756378925886
46,005,3260040832,15805388,-98.27858343550837,44.414660597815185
48,091,1449129706,39797957,-98.27647224957437,29.808112781135755
48,393,2393298464,346846,-100.81317496142977,35.838096853678884
54,005,1298967363,4305986,-81.69888019366694,38.019741912015746
72,075,156117101,121328720,-66.4909611174292,18.047487100636154
72,087,50147915,119761911,-65.89692444096134,18.427429834883625
21,223,392766459,11833389,-85.33775972290279,38.610564868140834
27,051,1418785987,71704973,-96.01139608849925,45.934247685725964
28,037,1460658783,7250805,-90.89770234875812,31.477403103396988
29,215,3049103790,5071079,-91.96556030879906,37.31715617171305
21,237,575419095,1505159,-83.49303612192276,37.739416264715
48,023,2246764578,86991034,-99.21355508700536,33.61640628874929
47,067,575816107,2988718,-83.22375846767974,36.5269287057156
46,081,2072127355,667509,-103.79294276845336,44.359194408378606
46,087,1487184889,6895716,-97.36863143909035,43.674257102289644
46,073,1362677262,16727973,-98.62961289319567,44.06639322345431
